datetime,open,high,low,close,volume,oi,dragonfly_doji,hammer,rising_window,evening_star,three_white_soldiers
2025-01-01 09:00:00,4094.4,4120.0,4090.5,4099.7,57621,0.0,False,False,False,False,False
2025-01-01 09:30:00,4099.7,4102.9,4091.6,4099.0,69798,0.0,False,False,False,False,False
2025-01-01 10:00:00,4099.0,4104.8,4085.45,4104.05,54085,0.0,False,True,False,False,False
2025-01-01 10:30:00,4104.45,4123.0,4101.7,4119.4,53887,0.0,False,False,False,False,False
2025-01-01 11:00:00,4119.4,4134.0,4115.1,4128.5,55229,0.0,False,False,False,False,False
2025-01-01 11:30:00,4127.9,4133.85,4103.4,4108.0,58382,0.0,False,False,False,False,False
2025-01-01 12:00:00,4107.55,4123.6,4106.0,4111.8,45180,0.0,False,False,False,False,False
2025-01-01 12:30:00,4111.0,4129.6,4108.15,4112.05,70858,0.0,True,False,False,False,False
2025-01-01 13:00:00,4111.95,4121.95,4107.85,4119.9,31180,0.0,False,False,False,False,False
2025-01-01 13:30:00,4119.9,4120.0,4112.75,4119.95,36838,0.0,True,False,False,False,False
2025-01-01 14:00:00,4119.95,4122.1,4110.95,4118.2,64036,0.0,False,False,False,False,False
2025-01-01 14:30:00,4118.2,4119.85,4110.15,4110.15,66763,0.0,False,False,False,False,False
2025-01-01 15:00:00,4110.95,4118.65,4107.6,4112.0,96170,0.0,False,False,False,False,False
2025-01-02 09:00:00,4120.0,4134.1,4096.95,4120.0,84842,0.0,True,False,False,False,False
2025-01-02 09:30:00,4118.9,4148.8,4117.0,4140.0,104106,0.0,False,False,False,False,False
2025-01-02 10:00:00,4140.0,4146.0,4130.0,4141.4,57938,0.0,False,False,False,False,False
2025-01-02 10:30:00,4142.0,4155.4,4134.0,4153.05,103006,0.0,False,False,False,False,False
2025-01-02 11:00:00,4153.0,4157.5,4146.5,4151.0,68744,0.0,False,False,False,False,False
2025-01-02 11:30:00,4151.1,4154.4,4133.4,4135.0,60930,0.0,False,False,False,True,False
2025-01-02 12:00:00,4136.0,4151.8,4127.2,4149.15,80257,0.0,False,False,False,False,False
2025-01-02 12:30:00,4149.15,4173.3,4149.15,4155.95,199157,0.0,False,False,False,False,False
2025-01-02 13:00:00,4156.8,4169.5,4153.0,4164.2,176881,0.0,False,False,False,False,False
2025-01-02 13:30:00,4164.2,4172.1,4161.65,4167.4,115262,0.0,False,False,False,False,False
2025-01-02 14:00:00,4167.4,4182.1,4160.5,4172.0,126202,0.0,False,False,False,False,False
2025-01-02 14:30:00,4172.0,4182.65,4171.6,4177.25,98861,0.0,False,False,False,False,False
2025-01-02 15:00:00,4177.15,4183.0,4156.4,4166.0,437590,0.0,False,False,False,False,False
2025-01-03 09:00:00,4179.95,4179.95,4141.0,4146.85,83390,0.0,False,False,False,False,False
2025-01-03 09:30:00,4144.85,4147.6,4118.05,4120.0,104233,0.0,False,False,False,False,False
2025-01-03 10:00:00,4120.0,4129.65,4115.95,4123.9,71111,0.0,False,False,False,False,False
2025-01-03 10:30:00,4124.0,4125.0,4102.0,4106.0,107453,0.0,False,False,False,False,False
2025-01-03 11:00:00,4106.0,4139.7,4104.0,4126.6,184649,0.0,False,False,False,False,False
2025-01-03 11:30:00,4126.25,4132.0,4121.05,4129.0,106804,0.0,False,False,False,False,False
2025-01-03 12:00:00,4129.0,4131.05,4104.65,4105.05,127108,0.0,False,False,False,True,False
2025-01-03 12:30:00,4105.0,4113.3,4104.25,4105.0,142645,0.0,True,False,False,False,False
2025-01-03 13:00:00,4105.0,4121.95,4105.0,4120.05,90196,0.0,False,False,False,False,False
2025-01-03 13:30:00,4120.0,4120.05,4105.0,4106.4,84559,0.0,False,False,False,False,False
2025-01-03 14:00:00,4106.05,4112.7,4105.05,4107.5,127330,0.0,False,False,False,False,False
2025-01-03 14:30:00,4108.3,4110.0,4104.0,4104.85,96633,0.0,False,False,False,False,False
2025-01-03 15:00:00,4104.9,4107.95,4092.3,4097.0,444240,0.0,False,False,False,False,False
2025-01-06 09:00:00,4105.5,4138.1,4099.9,4125.55,130824,0.0,False,False,False,False,False
2025-01-06 09:30:00,4125.55,4149.65,4111.75,4116.3,312104,0.0,False,False,False,False,False
2025-01-06 10:00:00,4117.2,4140.1,4116.4,4118.2,151612,0.0,True,False,False,False,False
2025-01-06 10:30:00,4118.2,4122.6,4093.05,4099.35,210050,0.0,False,False,False,False,False
2025-01-06 11:00:00,4099.35,4107.95,4087.35,4101.25,193363,0.0,False,False,False,False,False
2025-01-06 11:30:00,4101.25,4103.95,4066.4,4077.9,202076,0.0,False,False,False,False,False
2025-01-06 12:00:00,4077.9,4097.05,4077.9,4090.5,92114,0.0,False,False,False,False,False
2025-01-06 12:30:00,4090.5,4113.25,4090.4,4112.3,76642,0.0,False,False,False,False,False
2025-01-06 13:00:00,4112.3,4119.0,4106.6,4111.75,90588,0.0,True,False,False,False,False
2025-01-06 13:30:00,4111.75,4112.65,4094.5,4102.0,107871,0.0,False,False,False,False,False
2025-01-06 14:00:00,4102.0,4109.85,4097.35,4102.1,73515,0.0,True,False,False,False,False
2025-01-06 14:30:00,4102.1,4104.0,4090.25,4099.95,126714,0.0,False,True,False,False,False
2025-01-06 15:00:00,4099.95,4105.25,4086.0,4090.0,307687,0.0,False,False,False,False,False
2025-01-07 09:00:00,4114.95,4140.35,4093.15,4103.0,389242,0.0,False,False,False,False,False
2025-01-07 09:30:00,4102.75,4110.0,4042.05,4046.95,229801,0.0,False,False,False,False,False
2025-01-07 10:00:00,4045.55,4049.0,4025.0,4047.0,180720,0.0,False,False,False,False,False
2025-01-07 10:30:00,4047.0,4052.0,4031.1,4035.95,176759,0.0,False,False,False,False,False
2025-01-07 11:00:00,4036.8,4041.9,4021.65,4032.0,153180,0.0,False,False,False,False,False
2025-01-07 11:30:00,4032.05,4033.65,4011.55,4017.55,136729,0.0,False,False,False,False,False
2025-01-07 12:00:00,4017.35,4022.6,4011.9,4020.6,100783,0.0,False,False,False,False,False
2025-01-07 12:30:00,4020.5,4034.0,4014.9,4027.25,146789,0.0,False,False,False,False,False
2025-01-07 13:00:00,4027.25,4035.0,4024.75,4031.05,191880,0.0,False,False,False,False,False
2025-01-07 13:30:00,4031.05,4038.45,4029.05,4030.7,125659,0.0,True,False,False,False,False
2025-01-07 14:00:00,4030.0,4033.85,4024.1,4030.9,128329,0.0,False,False,False,False,False
2025-01-07 14:30:00,4030.85,4037.9,4030.0,4037.6,154629,0.0,False,False,False,False,False
2025-01-07 15:00:00,4037.6,4037.6,4021.35,4031.0,541056,0.0,False,False,False,False,False
2025-01-08 09:00:00,4034.9,4052.4,4021.1,4035.3,164837,0.0,True,False,False,False,False
2025-01-08 09:30:00,4035.35,4048.55,4017.75,4032.45,185853,0.0,False,False,False,False,False
2025-01-08 10:00:00,4032.45,4042.25,4022.05,4025.9,141289,0.0,False,False,False,False,False
2025-01-08 10:30:00,4027.65,4035.95,4022.05,4028.45,134928,0.0,False,False,False,False,False
2025-01-08 11:00:00,4028.4,4041.45,4020.4,4039.9,164427,0.0,False,False,False,False,False
2025-01-08 11:30:00,4039.9,4046.0,4029.9,4034.35,97306,0.0,False,False,False,False,False
2025-01-08 12:00:00,4034.5,4040.0,4029.3,4031.15,85243,0.0,False,False,False,False,False
2025-01-08 12:30:00,4031.4,4038.0,4023.35,4036.55,145574,0.0,False,False,False,False,False
2025-01-08 13:00:00,4036.55,4061.0,4035.05,4060.15,167517,0.0,False,False,False,False,False
2025-01-08 13:30:00,4060.85,4093.0,4060.2,4088.05,221724,0.0,False,False,False,False,False
2025-01-08 14:00:00,4088.0,4088.0,4057.3,4058.0,131588,0.0,False,False,False,False,False
2025-01-08 14:30:00,4058.0,4102.3,4051.0,4093.75,217300,0.0,False,False,False,False,False
2025-01-08 15:00:00,4095.15,4126.0,4087.7,4095.1,308213,0.0,True,False,False,False,False
2025-01-09 09:00:00,4101.0,4126.35,4090.15,4105.9,136634,0.0,False,False,False,False,False
2025-01-09 09:30:00,4105.15,4128.4,4101.5,4120.85,109942,0.0,False,False,False,False,False
2025-01-09 10:00:00,4120.9,4137.75,4106.7,4130.55,115996,0.0,False,False,False,False,False
2025-01-09 10:30:00,4130.7,4130.7,4080.4,4088.0,322908,0.0,False,False,False,False,False
2025-01-09 11:00:00,4088.0,4091.95,4076.45,4085.2,252996,0.0,False,False,False,False,False
2025-01-09 11:30:00,4085.0,4087.15,4071.0,4077.55,94755,0.0,False,False,False,False,False
2025-01-09 12:00:00,4077.35,4091.45,4071.35,4071.35,169274,0.0,False,False,False,False,False
2025-01-09 12:30:00,4070.05,4077.6,4063.0,4073.65,127561,0.0,False,False,False,False,False
2025-01-09 13:00:00,4073.65,4075.6,4029.5,4040.25,165324,0.0,False,False,False,False,False
2025-01-09 13:30:00,4039.3,4047.55,4030.65,4041.2,120887,0.0,False,False,False,False,False
2025-01-09 14:00:00,4041.2,4060.85,4037.6,4055.6,141262,0.0,False,False,False,False,False
2025-01-09 14:30:00,4055.8,4060.0,4041.85,4052.05,229561,0.0,False,False,False,False,False
2025-01-09 15:00:00,4052.05,4061.0,4025.3,4044.0,387986,0.0,False,False,False,True,False
2025-01-10 09:00:00,4200.0,4225.0,4174.4,4213.6,1408026,0.0,False,False,True,False,False
2025-01-10 09:30:00,4212.0,4213.95,4170.0,4189.5,823076,0.0,False,False,False,False,False
2025-01-10 10:00:00,4189.2,4238.45,4182.75,4221.0,789869,0.0,False,False,False,False,False
2025-01-10 10:30:00,4221.0,4245.9,4205.2,4226.8,587244,0.0,False,False,False,False,False
2025-01-10 11:00:00,4226.8,4243.9,4224.35,4243.1,369436,0.0,False,False,False,False,False
2025-01-10 11:30:00,4244.0,4289.0,4242.9,4289.0,776421,0.0,False,False,False,False,False
2025-01-10 12:00:00,4288.1,4292.65,4271.55,4286.55,512959,0.0,False,False,False,False,False
2025-01-10 12:30:00,4286.55,4288.5,4274.0,4280.85,231143,0.0,False,False,False,False,False
2025-01-10 13:00:00,4280.85,4290.0,4270.2,4273.55,404650,0.0,False,False,False,False,False
2025-01-10 13:30:00,4273.55,4297.0,4268.0,4283.35,484885,0.0,False,False,False,False,False
2025-01-10 14:00:00,4283.45,4286.8,4273.45,4280.9,280087,0.0,False,False,False,False,False
2025-01-10 14:30:00,4280.15,4282.95,4260.0,4265.35,394708,0.0,False,False,False,True,False
2025-01-10 15:00:00,4265.35,4271.85,4258.55,4267.0,731355,0.0,False,False,False,False,False
2025-01-13 09:00:00,4245.0,4277.9,4227.4,4265.0,386860,0.0,False,False,False,False,False
2025-01-13 09:30:00,4265.45,4293.4,4258.55,4286.85,337821,0.0,False,False,False,False,False
2025-01-13 10:00:00,4286.55,4302.75,4266.75,4299.25,279301,0.0,False,False,False,False,False
2025-01-13 10:30:00,4299.4,4316.8,4283.45,4303.4,260039,0.0,False,False,False,False,False
2025-01-13 11:00:00,4303.4,4306.6,4283.05,4285.95,238836,0.0,False,False,False,False,False
2025-01-13 11:30:00,4286.0,4306.0,4282.7,4302.9,194108,0.0,False,False,False,False,False
2025-01-13 12:00:00,4303.7,4322.45,4299.0,4321.0,410154,0.0,False,False,False,False,False
